ExecutionTime = 0.219403 s  ClockTime = 0 s
ExecutionTime = 4.43295 s  ClockTime = 4 s
ExecutionTime = 8.10683 s  ClockTime = 8 s
ExecutionTime = 11.7437 s  ClockTime = 12 s
ExecutionTime = 15.4088 s  ClockTime = 15 s
ExecutionTime = 19.1022 s  ClockTime = 19 s
ExecutionTime = 22.744 s  ClockTime = 23 s
ExecutionTime = 26.3942 s  ClockTime = 26 s
ExecutionTime = 30.0218 s  ClockTime = 30 s
ExecutionTime = 33.7164 s  ClockTime = 34 s
ExecutionTime = 37.3513 s  ClockTime = 37 s
ExecutionTime = 41.0034 s  ClockTime = 41 s
ExecutionTime = 44.6638 s  ClockTime = 44 s
ExecutionTime = 48.2938 s  ClockTime = 48 s
ExecutionTime = 51.953 s  ClockTime = 52 s
ExecutionTime = 55.6125 s  ClockTime = 55 s
ExecutionTime = 59.2714 s  ClockTime = 59 s
ExecutionTime = 62.8751 s  ClockTime = 63 s
ExecutionTime = 66.5187 s  ClockTime = 66 s
ExecutionTime = 70.1288 s  ClockTime = 70 s
ExecutionTime = 73.8869 s  ClockTime = 74 s
ExecutionTime = 77.5325 s  ClockTime = 77 s
ExecutionTime = 81.21 s  ClockTime = 81 s
ExecutionTime = 84.8657 s  ClockTime = 85 s
ExecutionTime = 88.4809 s  ClockTime = 88 s
ExecutionTime = 92.0648 s  ClockTime = 92 s
ExecutionTime = 95.6146 s  ClockTime = 95 s
ExecutionTime = 99.2019 s  ClockTime = 99 s
ExecutionTime = 102.771 s  ClockTime = 103 s
ExecutionTime = 106.332 s  ClockTime = 106 s
ExecutionTime = 109.934 s  ClockTime = 110 s
ExecutionTime = 113.578 s  ClockTime = 113 s
ExecutionTime = 117.208 s  ClockTime = 117 s
ExecutionTime = 120.841 s  ClockTime = 121 s
ExecutionTime = 124.501 s  ClockTime = 124 s
ExecutionTime = 128.103 s  ClockTime = 128 s
ExecutionTime = 131.781 s  ClockTime = 132 s
ExecutionTime = 135.986 s  ClockTime = 136 s
ExecutionTime = 139.815 s  ClockTime = 140 s
ExecutionTime = 143.516 s  ClockTime = 143 s
ExecutionTime = 147.086 s  ClockTime = 147 s
ExecutionTime = 150.729 s  ClockTime = 151 s
ExecutionTime = 154.375 s  ClockTime = 154 s
ExecutionTime = 158.01 s  ClockTime = 158 s
ExecutionTime = 161.608 s  ClockTime = 162 s
ExecutionTime = 165.242 s  ClockTime = 165 s
ExecutionTime = 168.888 s  ClockTime = 169 s
ExecutionTime = 172.527 s  ClockTime = 172 s
ExecutionTime = 176.172 s  ClockTime = 176 s
ExecutionTime = 179.829 s  ClockTime = 180 s
ExecutionTime = 183.46 s  ClockTime = 183 s
ExecutionTime = 187.12 s  ClockTime = 187 s
ExecutionTime = 190.759 s  ClockTime = 191 s
ExecutionTime = 194.583 s  ClockTime = 195 s
ExecutionTime = 198.408 s  ClockTime = 198 s
ExecutionTime = 202.31 s  ClockTime = 202 s
ExecutionTime = 206.091 s  ClockTime = 206 s
ExecutionTime = 209.678 s  ClockTime = 210 s
ExecutionTime = 213.45 s  ClockTime = 213 s
ExecutionTime = 217.213 s  ClockTime = 217 s
ExecutionTime = 220.81 s  ClockTime = 221 s
ExecutionTime = 224.565 s  ClockTime = 225 s
ExecutionTime = 228.288 s  ClockTime = 228 s
ExecutionTime = 232.066 s  ClockTime = 232 s
ExecutionTime = 235.713 s  ClockTime = 236 s
ExecutionTime = 239.563 s  ClockTime = 240 s
ExecutionTime = 243.461 s  ClockTime = 243 s
ExecutionTime = 247.199 s  ClockTime = 247 s
ExecutionTime = 251.171 s  ClockTime = 251 s
ExecutionTime = 254.822 s  ClockTime = 255 s
ExecutionTime = 258.703 s  ClockTime = 259 s
ExecutionTime = 262.682 s  ClockTime = 263 s
ExecutionTime = 266.352 s  ClockTime = 266 s
ExecutionTime = 270.017 s  ClockTime = 270 s
ExecutionTime = 273.696 s  ClockTime = 274 s
ExecutionTime = 277.38 s  ClockTime = 277 s
ExecutionTime = 281.121 s  ClockTime = 281 s
ExecutionTime = 285.1 s  ClockTime = 285 s
ExecutionTime = 288.759 s  ClockTime = 289 s
ExecutionTime = 292.428 s  ClockTime = 292 s
ExecutionTime = 296.054 s  ClockTime = 296 s
ExecutionTime = 299.708 s  ClockTime = 300 s
ExecutionTime = 303.339 s  ClockTime = 303 s
ExecutionTime = 307.136 s  ClockTime = 307 s
ExecutionTime = 310.82 s  ClockTime = 311 s
ExecutionTime = 314.422 s  ClockTime = 314 s
ExecutionTime = 317.982 s  ClockTime = 318 s
ExecutionTime = 321.618 s  ClockTime = 322 s
ExecutionTime = 325.175 s  ClockTime = 325 s
ExecutionTime = 328.73 s  ClockTime = 329 s
ExecutionTime = 332.364 s  ClockTime = 332 s
ExecutionTime = 336 s  ClockTime = 336 s
ExecutionTime = 339.551 s  ClockTime = 340 s
ExecutionTime = 343.288 s  ClockTime = 343 s
ExecutionTime = 346.929 s  ClockTime = 347 s
ExecutionTime = 350.544 s  ClockTime = 351 s
ExecutionTime = 354.184 s  ClockTime = 354 s
ExecutionTime = 357.837 s  ClockTime = 358 s
ExecutionTime = 361.477 s  ClockTime = 362 s
ExecutionTime = 365.098 s  ClockTime = 365 s
